channel_id,host_name,podcast_name
The Joe Rogan Experience,Joe Rogan,The Joe Rogan Experience
Huberman Lab,Andrew D. Huberman,Huberman Lab
Call Her Daddy,Alex Cooper,Call Her Daddy
Lex Fridman Podcast,Lex Fridman,Lex Fridman Podcast
On Purpose with Jay Shetty,Jay Shetty,On Purpose with Jay Shetty
The Tucker Carlson Show,Tucker Carlson,The Tucker Carlson Show
The Mel Robbins Podcast,Mel Robbins,The Mel Robbins Podcast
Rotten Mango,Stephanie Soo,Rotten Mango
New Heights with Jason and Travis Kelce,Jason Kelce,New Heights with Jason and Travis Kelce
Nerdrotic,Gary Buechler,Nerdrotic
The Daily,Michael Barbaro,The Daily
NPR News Now,NPR Staff,NPR News Now
Pod Save America,Jon Favreau,Pod Save America
The Ben Shapiro Show,Ben Shapiro,The Ben Shapiro Show
The Dan Bongino Show,Dan Bongino,The Dan Bongino Show
The Glenn Beck Program,Glenn Beck,The Glenn Beck Program
Louder with Crowder,Steven Crowder,Louder with Crowder
The Michael Knowles Show,Michael Knowles,The Michael Knowles Show
The Matt Walsh Show,Matt Walsh,The Matt Walsh Show
"All-In with Chamath, Jason, Sacks & Friedberg",Chamath Palihapitiya,"All-In with Chamath, Jason, Sacks & Friedberg"
The Charlie Kirk Show,Charlie Kirk,The Charlie Kirk Show
The Candace Owens Show,Candace Owens,The Candace Owens Show
The Tim Pool Podcast,Tim Pool,The Tim Pool Podcast
Breaking Points,Krystal Ball,Breaking Points
The Jimmy Dore Show,Jimmy Dore,The Jimmy Dore Show
The Diary Of A CEO with Steven Bartlett,Steven Bartlett,The Diary Of A CEO with Steven Bartlett
How I Built This with Guy Raz,Guy Raz,How I Built This with Guy Raz
The Tim Ferriss Show,Tim Ferriss,The Tim Ferriss Show
Masters of Scale,Reid Hoffman,Masters of Scale
a16z Podcast,Andreessen Horowitz,a16z Podcast
The Knowledge Project,Shane Parrish,The Knowledge Project
Invest Like the Best,Patrick O'Shaughnessy,Invest Like the Best
The Acquirers Podcast,Tobias Carlisle,The Acquirers Podcast
Chat with Traders,Aaron Fifield,Chat with Traders
Capital Allocators,Ted Seides,Capital Allocators
The Twenty Minute VC,Harry Stebbings,The Twenty Minute VC
This Week in Startups,Jason Calacanis,This Week in Startups
The Full Ratchet,Nick Moran,The Full Ratchet
Venture Stories,Erik Torenberg,Venture Stories
The Pitch,Josh Muccio,The Pitch
Crime Junkie,Ashley Flowers,Crime Junkie
My Favorite Murder,Karen Kilgariff,My Favorite Murder
Serial,Sarah Koenig,Serial
This American Life,Ira Glass,This American Life
Dateline NBC,Andrea Canning,Dateline NBC
Up and Vanished,Payne Lindsey,Up and Vanished
True Crime Garage,Nick Vining,True Crime Garage
Casefile True Crime,Anonymous Host,Casefile True Crime
Criminal,Phoebe Judge,Criminal
The Murder Squad,Billy Jensen,The Murder Squad
Morbid,Alaina Urquhart,Morbid
Crime Counts,Scott Weinberger,Crime Counts
The First Degree,Billy Jensen,The First Degree
Generation Why,Aaron Habel,Generation Why
Sword and Scale,Mike Boudet,Sword and Scale
Conan O'Brien Needs A Friend,Conan O'Brien,Conan O'Brien Needs A Friend
This Past Weekend w/ Theo Von,Theo Von,This Past Weekend w/ Theo Von
The Bill Simmons Podcast,Bill Simmons,The Bill Simmons Podcast
Pardon My Take,Dan Katz,Pardon My Take
WTF with Marc Maron,Marc Maron,WTF with Marc Maron
Comedy Bang! Bang!,Scott Aukerman,Comedy Bang! Bang!
Your Mom's House,Tom Segura,Your Mom's House
"2 Bears, 1 Cave",Tom Segura,"2 Bears, 1 Cave"
Are You Garbage?,Kevin Ryan,Are You Garbage?
Bad Friends,Andrew Santino,Bad Friends
The Honeydew,Ryan Sickler,The Honeydew
Kill Tony,Tony Hinchcliffe,Kill Tony
Tigerbelly,Bobby Lee,Tigerbelly
The Adam Carolla Show,Adam Carolla,The Adam Carolla Show
Bertcast,Bert Kreischer,Bertcast
Radiolab,Lulu Miller,Radiolab
Science Vs,Wendy Zukerman,Science Vs
Hidden Brain,Shankar Vedantam,Hidden Brain
